Adresse,CodePostal,Arrondissement ,idParcelle,latitude,longitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
12 COURS RICHARD VITTON,69383,Lyon 3e Arrondissement,69383000CX0127,45.753963,4.886366,0.8018169208211143,,12 Cours Richard Vitton 69003 Lyon,housenumber,69383_6040_00012,12,12 Cours Richard Vitton,Cours Richard Vitton,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 PLACE BIR HAKEIM,69383,Lyon 3e Arrondissement,69383000AY0090,45.752739,4.854746,0.7649334343434343,,12 Place Bir-Hakeim 69003 Lyon,housenumber,69383_0915_00012,12,12 Place Bir-Hakeim,Place Bir-Hakeim,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 QUAI VICTOR AUGAGNEUR,69383,Lyon 3e Arrondissement,69383000AI0052,45.760241,4.841199,0.8014927272727272,,12 Quai Victor Augagneur 69003 Lyon,housenumber,69383_7375_00012,12,12 Quai Victor Augagneur,Quai Victor Augagneur,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE AIME COLLOMB,69383,Lyon 3e Arrondissement,69383000AL0086,45.756874,4.841893,0.7653670707070707,,12 Rue Aimé Collomb 69003 Lyon,housenumber,69383_0090_00012,12,12 Rue Aimé Collomb,Rue Aimé Collomb,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
33 RUE PETREQUIN,69386,Lyon 6e Arrondissement,69386000AW0058,45.767586,4.86271,0.7311781818181817,,33 Rue Pétrequin 69006 Lyon,housenumber,69386_5400_00033,33,33 Rue Pétrequin,Rue Pétrequin,69006,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69386,,,Lyon 6e Arrondissement,ok
26 COURS ALBERT THOMAS,69388,Lyon 8e Arrondissement,69388000AC0002,45.748295,4.862914,0.7911427272727273,,26 Cours Albert Thomas 69008 Lyon,housenumber,69388_0120_00026,26,26 Cours Albert Thomas,Cours Albert Thomas,69008,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69388,,,Lyon 8e Arrondissement,ok
33 RUE SAINTE GENEVIEVE,69386,Lyon 6e Arrondissement,69386000AY0023,45.766114,4.864883,0.7941569208211142,,33 Rue Sainte Geneviève 69006 Lyon,housenumber,69386_6630_00033,33,33 Rue Sainte Geneviève,Rue Sainte Geneviève,69006,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69386,,,Lyon 6e Arrondissement,ok
12 RUE AUGUSTE LACROIX,69383,Lyon 3e Arrondissement,69383000AM0015,45.755108,4.844961,0.7869790909090909,,12 Rue Auguste Lacroix 69003 Lyon,housenumber,69383_0533_00012,12,12 Rue Auguste Lacroix,Rue Auguste Lacroix,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE BARA,69383,Lyon 3e Arrondissement,69383000BK0020,45.75057,4.873269,0.683245023923445,0.44606265734265726,12 Rue Bara 69003 Lyon,housenumber,69383_0640_00012,12,12 Rue Bara,Rue Bara,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE D ARMENIE,69383,Lyon 3e Arrondissement,69383000AW0111,45.754308,4.849307,0.7415245454545454,,12 Rue d'Arménie 69003 Lyon,housenumber,69383_0470_00012,12,12 Rue d'Arménie,Rue d'Arménie,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE D AUBIGNY,69383,Lyon 3e Arrondissement,69383000EK0035,45.761131,4.863316,0.7436609090909091,,12 Rue d'Aubigny 69003 Lyon,housenumber,69383_0515_00012,12,12 Rue d'Aubigny,Rue d'Aubigny,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE DANTON,69383,Lyon 3e Arrondissement,69383000AS0053,45.755685,4.857329,0.7105861038961039,0.4204854545454545,12 Rue Danton 69003 Lyon,housenumber,69383_2080_00012,12,12 Rue Danton,Rue Danton,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE DE LA BALME,69383,Lyon 3e Arrondissement,69383000CH0003,45.748566,4.88946,0.7666725174825174,,12 Rue de la Balme 69003 Lyon,housenumber,69383_0610_00012,12,12 Rue de la Balme,Rue de la Balme,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE DE LA CAILLE,69383,Lyon 3e Arrondissement,69383000CN0077,45.751845,4.894742,0.768719797979798,0.5044832915360501,12 Rue de la Caille 69003 Lyon,housenumber,69383_1170_00012,12,12 Rue de la Caille,Rue de la Caille,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
33 RUE TRONCHET,69386,Lyon 6e Arrondissement,69386000AN0027,45.769823,4.84689,0.7369058498023715,,33 Rue Tronchet 69006 Lyon,housenumber,69386_7180_00033,33,33 Rue Tronchet,Rue Tronchet,69006,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69386,,,Lyon 6e Arrondissement,ok
12 RUE DE NAZARETH,69383,Lyon 3e Arrondissement,69383000DW0003,45.759391,4.871696,0.757597062937063,,12 Rue de Nazareth 69003 Lyon,housenumber,69383_4995_00012,12,12 Rue de Nazareth,Rue de Nazareth,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE DOCTEUR REBATEL,69383,Lyon 3e Arrondissement,69383000BK0019,45.749924,4.873499,0.7912036363636364,,12 Rue Docteur Rebatel 69003 Lyon,housenumber,69383_2245_00012,12,12 Rue Docteur Rebatel,Rue Docteur Rebatel,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE DU GAZOMETRE,69383,Lyon 3e Arrondissement,69383000AT0058,45.756285,4.850481,0.7626116161616161,,12 Rue du Gazomètre 69003 Lyon,housenumber,69383_3075_00012,12,12 Rue du Gazomètre,Rue du Gazomètre,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE DUNOIR,69383,Lyon 3e Arrondissement,69383000AH0102,45.760897,4.846175,0.7111933766233766,,12 Rue Dunoir 69003 Lyon,housenumber,69383_2405_00012,12,12 Rue Dunoir,Rue Dunoir,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE DUPHOT,69383,Lyon 3e Arrondissement,69383000AK0056,45.757588,4.843439,0.7055924675324675,,12 Rue Duphot 69003 Lyon,housenumber,69383_2410_00012,12,12 Rue Duphot,Rue Duphot,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE FERDINAND BUISSON,69383,Lyon 3e Arrondissement,69383000CT0010,45.747814,4.883979,0.8078318181818182,,12 Rue Ferdinand Buisson 69003 Lyon,housenumber,69383_2705_00012,12,12 Rue Ferdinand Buisson,Rue Ferdinand Buisson,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE LAVOISIER,69383,Lyon 3e Arrondissement,69383000AS0133,45.756014,4.858278,0.7380599999999999,,12 Rue Lavoisier 69003 Lyon,housenumber,69383_4180_00012,12,12 Rue Lavoisier,Rue Lavoisier,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 BOULEVARD MARIUS VIVIER MERLE | 100 RUE DE BONNEL,69383,Lyon 3e Arrondissement,69383000AR0005,45.762374,4.857323,0.6254137161084529,0.32017614035087716,10 Boulevard Marius Vivier-Merle 69003 Lyon,housenumber,69383_7520_00010,10,10 Boulevard Marius Vivier-Merle,Boulevard Marius Vivier-Merle,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 COURS LAFAYETTE,69383,Lyon 3e Arrondissement,69383000AB0005,45.763531,4.842723,0.7675843356643356,0.4141836363636363,10 Cours Lafayette 69003 Lyon,housenumber,69383_4095_00010,10,10 Cours Lafayette,Cours Lafayette,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 IMPASSE LINDBERGH,69383,Lyon 3e Arrondissement,69383000CT0068,45.747079,4.886683,0.7716702597402597,,10 Impasse Lindbergh 69003 Lyon,housenumber,69383_4250_00010,10,10 Impasse Lindbergh,Impasse Lindbergh,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 PLACE BIR HAKEIM,69383,Lyon 3e Arrondissement,69383000AY0031,45.752437,4.854821,0.7649334343434343,,10 Place Bir-Hakeim 69003 Lyon,housenumber,69383_0915_00010,10,10 Place Bir-Hakeim,Place Bir-Hakeim,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE AIME COLLOMB,69383,Lyon 3e Arrondissement,69383000AL0085,45.756916,4.841751,0.7653670707070707,,10 Rue Aimé Collomb 69003 Lyon,housenumber,69383_0090_00010,10,10 Rue Aimé Collomb,Rue Aimé Collomb,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE AUGUSTE LACROIX,69383,Lyon 3e Arrondissement,69383000AM0016,45.755222,4.844896,0.7869790909090909,,10 Rue Auguste Lacroix 69003 Lyon,housenumber,69383_0533_00010,10,10 Rue Auguste Lacroix,Rue Auguste Lacroix,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE COMBET DESCOMBES,69383,Lyon 3e Arrondissement,69383000DT0015,45.758176,4.870045,0.7886787390029325,,10 Rue Combet-Descombes 69003 Lyon,housenumber,69383_1820_00010,10,10 Rue Combet-Descombes,Rue Combet-Descombes,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE DAVID,69383,Lyon 3e Arrondissement,69383000DO0052,45.753684,4.869176,0.6968981818181818,0.5159927272727273,10 Rue David 69003 Lyon,housenumber,69383_2095_00010,10,10 Rue David,Rue David,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE DE L ABONDANCE | 300 RUE ANDRE PHILIP | 310 RUE ANDRE PHILIP,69383,Lyon 3e Arrondissement,69383000AW0026,45.753423,4.851208,0.3762855844155844,0.3278902117061021,10 Rue de l'Abondance 69003 Lyon,housenumber,69383_0030_00010,10,10 Rue de l'Abondance,Rue de l'Abondance,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
